"","s1","s2","taua1[1]","taua1[2]","taua2[1,1]","taua2[2,1]","taua2[3,1]","taua2[1,2]","taua2[2,2]","taua2[3,2]","taub1[1]","taub1[2]","taub2[1,1]","taub2[2,1]","taub2[3,1]","taub2[1,2]","taub2[2,2]","taub2[3,2]"
"1",59.0436659373813,64.2540784412393,39.0393555503307,19.118516187587,30.2941396563866,21.933422265873,23.6177775117143,6.34356248355334,4.24321093326214,6.35705374494331,369.794734051877,91.0122379219073,13.0115283239544,32.0333898186965,32.5935125277285,48.6318586127866,44.1641714266854,26.4647050922502
"2",113.238151752575,78.705931577481,103.990791198521,126.363861054411,14.3866097381957,24.4941327138952,38.8109766734316,4.13292185798793,4.25259906654125,9.39617656679261,464.318858439876,231.551968408873,15.7456834415349,21.0680087599855,59.2269072055356,63.9704155064839,73.7389101243572,18.8232146814887
"3",54.9192709843428,57.2683378957046,210.974737101228,154.192578774291,15.741175691743,31.1458324428309,24.405911940599,6.83647951065261,2.61176824950109,7.20225281975904,205.265434599226,128.743887574881,24.7798816685181,20.3303060049411,40.5379963514096,79.7528004272223,258.457842664212,27.755515745971
"4",275.704390268796,375.156469318693,340.798297245369,154.341364634497,13.8931312864454,23.2318591808588,33.1222727121997,9.56354013410188,3.39302630321996,8.55688193412547,147.348476461007,153.060374226724,16.5243592902066,20.0068526290863,32.1738096080754,104.551773328566,110.065196075376,25.1493489573491
"5",79.6913419857798,193.883030751916,134.280051726218,103.748736869239,12.2798243659162,30.543566172577,54.6748480878448,8.27159954232998,4.01741054768538,7.42499975234215,232.981100984366,213.416134183246,13.8809432898813,8.31762579098425,21.957522725122,168.838905394329,71.2667349352743,8.41702529317871
"6",14.6188413949573,169.162525359084,35.203051108963,92.5996176985494,13.3102207872631,34.038620741063,56.6366883609807,14.5834508602939,3.25572020767983,2.57141065942455,321.351861113084,184.438293806302,19.3669646317101,12.8690011879192,26.5597195422497,89.0027229489069,57.8857134104952,12.9516105343676
"7",56.708876928737,55.1929319577361,81.0129547529087,153.798007569486,7.10410554634527,88.2396716023989,20.6337937623375,18.670675669894,4.0727498261709,4.18782021663261,293.806648405547,439.062444877111,21.2308514463447,15.686015647459,20.7072306573996,143.982590708774,41.3220601675504,11.3681145239599
"8",104.848763866926,92.5193419104469,75.1924407129821,357.557105017522,11.2321157558898,82.8343958373956,34.674921946197,7.58503170926163,4.09982348993321,7.304155315071,253.529118005136,317.828863302781,13.0214027518958,20.0305243618883,23.7446324263181,289.499614609187,51.4725171906531,20.1546539427688
"9",138.804300801441,386.399949612147,67.9662809391333,291.208158119755,6.8316485345622,108.965567985813,11.2489629090443,7.35193048889468,5.65657941969364,3.70395562206212,275.655572179731,498.183843648568,21.5551494917218,21.7911209456112,12.6976202182336,125.647758256874,35.5790583966069,11.1432137429111
"10",249.566540444832,161.626283007014,82.4539522599458,850.391574928527,14.7769829208369,66.2063966249994,24.7461118641215,8.17084814487588,17.1718548351403,9.80491983820911,368.324215550964,387.822356756171,27.0537668666843,17.2095665837788,10.325412454916,51.4033117273586,29.1412621886968,12.4319032186295
"11",0.0998379210464509,1.51002719344187,40.4544208615092,756.703030908004,10.0119980560332,152.420269995883,27.7282950670607,4.61079945595619,11.2027121392703,7.384906369187,335.171026981969,410.585690194807,18.4283333398678,32.845579170738,12.9396498938025,38.5892849039903,17.5715625279886,15.5599919394657
"12",114.681066638314,77.6870770931929,85.5636879259533,288.613527325891,10.2156900535385,56.5246084469632,22.5416618714268,4.20409981772409,26.677935045977,6.97094750747169,390.719601850662,581.789979331916,23.0926010312643,16.3719552391037,14.1304759316134,74.8687324956873,55.3437544097145,8.91869562704337
"13",33.8759479198768,96.9920480400691,74.9455100559997,269.431144233413,11.9047092371977,94.494382145458,17.2093280497676,3.43353617456334,19.7236987645483,6.29859287613188,225.279390030007,349.13888010138,14.733707470783,21.7492978042938,26.4902362422492,57.6500719123531,47.5051284013064,12.7630171008804
