"","alpha[1,1]","alpha[2,1]","alpha[3,1]","alpha[4,1]","alpha[5,1]","alpha[6,1]","alpha[7,1]","alpha[8,1]","alpha[9,1]","alpha[1,2]","alpha[2,2]","alpha[3,2]","alpha[4,2]","alpha[5,2]","alpha[6,2]","alpha[7,2]","alpha[8,2]","alpha[9,2]","beta[1,1]","beta[2,1]","beta[3,1]","beta[4,1]","beta[5,1]","beta[6,1]","beta[7,1]","beta[8,1]","beta[9,1]","beta[1,2]","beta[2,2]","beta[3,2]","beta[4,2]","beta[5,2]","beta[6,2]","beta[7,2]","beta[8,2]","beta[9,2]"
"12",-1.77224681439707,-1.64067902742651,-1.7669931527943,-1.89686332945163,-2.26415824637414,-1.66365705069963,-2.7815480708381,-1.67407172396423,-1.97496691106897,-1.20108938763149,-1.34186691203265,-1.50116574602384,-1.59989798964173,-1.91772767932,-1.25969966973591,-2.56492352629088,-1.32396350852427,-1.18347157147736,0.21516895874319,0.228510172006033,0.19688692169692,0.206586047395862,0.251280291793754,0.190501967796686,0.324646276470968,0.207153000309531,0.203499184486623,0.13860499376049,0.151518159983418,0.197083533934104,0.186767395193803,0.211074141375307,0.144091492299274,0.298725890144904,0.156035444284253,0.134202192384893
"13",-1.7655774839485,-1.74952631039465,-1.72000725154998,-1.81538012530626,-2.13069696497037,-1.65522622198591,-2.76562828749222,-1.6623533289995,-1.84456283511637,-1.20688725240585,-1.31542854685563,-1.54562444034683,-1.61770332349488,-1.93333906327071,-1.35946032387436,-2.48692308569439,-1.29973754178186,-1.2364151171834,0.19678177514325,0.224822883773217,0.201773220855554,0.209138821002492,0.251023695385505,0.193182959223705,0.304935886869108,0.203881999256504,0.208060402924062,0.160399173677352,0.152662439067407,0.200319122962555,0.217800953892606,0.235454587345022,0.169033690431667,0.308692587762274,0.166845478421872,0.144581050766764
"14",-1.55937646179671,-1.65919205600821,-1.65816543348269,-1.80736450782759,-2.17891588876065,-1.77466763607757,-2.48193978596976,-1.66221616126125,-1.74113025748758,-1.23936036295321,-1.33453779332999,-1.53594864332397,-1.63860389683358,-2.14379613466083,-1.33908188767208,-2.53829123197837,-1.27489945572076,-1.35323587875044,0.198196966806532,0.224345180649367,0.172440899752689,0.223910772125993,0.245489110960863,0.20704120058711,0.293526230261138,0.205038820160336,0.193858226866367,0.143359540483402,0.151782323285045,0.197652461885837,0.188830245881028,0.248854110843349,0.155615498658776,0.30661249572042,0.158771490120733,0.160158252640556
"15",-1.70251291177234,-1.71003148188034,-1.63001700736303,-1.84562920050285,-2.18296910499333,-1.78907708242403,-2.52785760406737,-1.68232104951883,-1.7781479673846,-1.26560883171556,-1.41367584357367,-1.52916409664069,-1.46168702831573,-2.19727120209672,-1.37182157220423,-2.50401993284887,-1.34445426175325,-1.32896633179091,0.200592058750878,0.211694977982696,0.180731524297885,0.220192319799951,0.240161629249,0.201086606795025,0.296850798145774,0.209345209752685,0.197323286801521,0.158973611919989,0.158159022828774,0.192967546237331,0.188044329321222,0.251053113983904,0.163761266872498,0.293971995425523,0.179049162739981,0.14377750651403
"16",-1.68143447025599,-1.68387861756571,-1.59577238939126,-1.71877494978853,-2.0659179551117,-1.7843827191167,-2.43459537120299,-1.6130646968687,-1.70527687855207,-1.43100898111226,-1.33834171945327,-1.38844584092614,-1.45615900065711,-2.11740673182261,-1.37633410773691,-2.50813272983032,-1.35268669718052,-1.22740126229407,0.188587027404893,0.201666974396943,0.184860049743407,0.214575004311394,0.247086385082375,0.197539402840924,0.295946627974152,0.176458694179844,0.196390862489542,0.169608257613881,0.158630374378203,0.161045422556204,0.190818878129675,0.247564582170555,0.167353806258605,0.290470840939329,0.187578006948257,0.143796806242787
"17",-1.52927390541223,-1.6677067626412,-1.5996647580221,-1.70214476869718,-2.1576456037603,-1.8110342180311,-2.46059932085151,-1.53158652641388,-1.82940890000849,-1.31591381038939,-1.33426978019283,-1.42684550432337,-1.44381738865415,-2.14730297372151,-1.3786515280511,-2.2489244399906,-1.38223217341865,-1.21518098888734,0.189744975129784,0.215071568956325,0.178635812141486,0.217797765126258,0.243119416584195,0.198670450071943,0.286924531475638,0.191584106766004,0.218925757368506,0.15526509784419,0.168387804441529,0.162556664243054,0.188512732836087,0.247571134542178,0.173538957371897,0.25518996822859,0.177870077730613,0.143255790286223
"18",-1.53086628158491,-1.70201592747428,-1.60380856092743,-1.66328119789648,-2.19389236034405,-1.82166089874784,-2.41977497611291,-1.63872310847047,-1.84169052698628,-1.25868972451912,-1.36514555801966,-1.36279056513927,-1.46357504408529,-2.16181044018665,-1.37932371814231,-2.3012829776378,-1.43482504312474,-1.22183403230483,0.182875475090305,0.238029803274676,0.17672365212964,0.219950394963382,0.247144666996056,0.194697772773739,0.285962190663919,0.200353893961899,0.220107878230039,0.152336307121835,0.16106931135414,0.170453861801237,0.187152785691829,0.240042922757606,0.168076535141648,0.263230730749443,0.174338115315679,0.141784779037405
"19",-1.60472497735619,-1.68139112581436,-1.61836711864634,-1.68531274976804,-2.19091212584977,-1.79740194233475,-2.47515094850791,-1.67661667691895,-1.88651953812368,-1.33959291005772,-1.32064476093514,-1.37095205849354,-1.46438100474963,-2.13684148148015,-1.44440992934298,-2.28540434709628,-1.42946793922576,-1.30401166035384,0.202483162225868,0.200679152873299,0.206608847258949,0.217160833255324,0.256955897591363,0.195625862193001,0.284615086314127,0.211029543152534,0.211209193586972,0.157928666666003,0.154065050223464,0.172227704415399,0.188996754350483,0.237966824029871,0.177258959936488,0.286286584559083,0.17057176406856,0.160330115558819
"20",-1.69769484088733,-1.67898700277577,-1.85249290589791,-1.801688184467,-2.34051836391559,-1.76298876939977,-2.45798833198738,-1.70672654985818,-1.78757681300857,-1.36241560947509,-1.44311689373323,-1.43757541006629,-1.50074642218435,-2.01433593994454,-1.47559024739766,-2.33468973590204,-1.44897935235027,-1.28597802794871,0.20501935465682,0.202951737622122,0.20850758693491,0.228196051361413,0.28749733063088,0.195834017846826,0.305740431371903,0.205498629360238,0.210982920144357,0.160601952236794,0.154742015990684,0.176424604442886,0.196944971186435,0.22057977450879,0.179908342641962,0.278954865539483,0.177324668819647,0.155129708855539
"21",-1.69452799588858,-1.65822488674531,-1.75298536272279,-1.80979919772958,-2.31562386327451,-1.7742331146289,-2.48099356379751,-1.8482734569505,-2.01641130038032,-1.42514244601329,-1.37912149837281,-1.47205818221651,-1.49437456818547,-2.1012472239047,-1.44210854465744,-2.251800430234,-1.41215447736886,-1.23122311056547,0.204904833548097,0.213424233910682,0.197634272278214,0.219295839968322,0.276069609869542,0.202283767261855,0.281404581083941,0.212620442091073,0.227518803659684,0.178627006660386,0.169479707429108,0.184436632955041,0.200221710773082,0.235808307621085,0.171695945205116,0.275590595125822,0.174360142191605,0.149739128172158
