"","alpha[1,1]","alpha[2,1]","alpha[3,1]","alpha[4,1]","alpha[5,1]","alpha[6,1]","alpha[7,1]","alpha[8,1]","alpha[9,1]","alpha[1,2]","alpha[2,2]","alpha[3,2]","alpha[4,2]","alpha[5,2]","alpha[6,2]","alpha[7,2]","alpha[8,2]","alpha[9,2]","beta[1,1]","beta[2,1]","beta[3,1]","beta[4,1]","beta[5,1]","beta[6,1]","beta[7,1]","beta[8,1]","beta[9,1]","beta[1,2]","beta[2,2]","beta[3,2]","beta[4,2]","beta[5,2]","beta[6,2]","beta[7,2]","beta[8,2]","beta[9,2]"
"1",9.10794514222848,8.00473864083068,8.4800944650995,7.98593082401986,8.54023406333152,8.95776331546198,8.5977625201782,8.2628458822272,8.69573291367113,8.65824045643878,8.64359848466975,8.51412501358808,7.99247683258191,8.50645498891757,8.22897924091545,8.34410101893559,8.40023131060808,8.86972545842576,0.238099790379604,0.195091427034853,0.231425247616904,0.255693382556684,0.287014505610264,0.224948276556065,0.303063403541767,0.248413211304428,0.236999778433222,0.171438120059018,0.192973611574464,0.186938506423329,0.194365744159605,0.21975485779716,0.15932776603757,0.336788195179387,0.174081931212006,0.151535482240533
"2",8.91633208239665,8.22649303517659,8.48890253961282,8.32137616764251,8.5160214499852,8.98683159667479,8.64061260429256,8.36771673250771,9.14597676570907,8.66805718533914,8.52063829036152,8.51574821087287,8.27429235903958,8.45012393208222,8.46034905745963,8.04148731985285,8.47322448451387,8.20408616347188,0.207483771280406,0.1949963910389,0.242652455894975,0.275671035526193,0.28008672671621,0.217619310734009,0.371822002147017,0.200725934603301,0.244723320843807,0.151638382714345,0.205179652216422,0.226419878244086,0.196839619767509,0.242243954766344,0.173012558497661,0.309010687559977,0.178312471180515,0.150684844496793
"3",8.59654009208898,8.3876754076038,8.50949696382217,8.58822507389267,8.54680006878994,8.94797818778685,8.54536634378627,8.38695362725731,8.91712858541334,8.87040148517226,9.02482408266992,8.53629213783334,8.21957854079748,8.45324575793902,8.23566931911852,7.99313932132554,8.35671650513879,8.43412937178624,0.20942745887236,0.20808042478073,0.214567429973823,0.24804905339979,0.259436035701733,0.214417860652793,0.368159024202313,0.20819088810142,0.191814784386859,0.159331598440181,0.171307883873861,0.248013113502767,0.229684746446652,0.223693693544775,0.152439670840219,0.302221238945614,0.194568088543692,0.142918228859492
"4",8.46883763306202,8.1748649648499,8.53494092044125,8.80196580969869,8.20951003151634,8.7254326452194,8.46623321084236,8.54137963364416,8.58167161553424,8.7853064977754,8.87397355763413,8.42034739024211,8.24384948020804,8.39223627584471,8.55796012496518,8.00036834868683,8.16684910219448,8.88396046974152,0.210182576073466,0.180101358272398,0.223890273424109,0.243508706244694,0.276886797785383,0.213684916676309,0.362012816579503,0.20905874912771,0.224211100629443,0.159203617724318,0.186036078342138,0.174071808486921,0.17767312338301,0.217926713816314,0.168693807589978,0.305614902216128,0.135312123962078,0.179732407214989
"5",8.4298467304845,8.19309370291878,8.5731519594078,8.61328807218619,8.23845687267997,8.73927356089762,8.50465448244926,9.44859972612438,8.6383188250658,8.41007781771026,8.8900331861456,8.67803460312433,8.36215279263198,8.97144987710458,8.66896564357077,7.95740585762102,7.72896428664755,8.16420771038239,0.195648124886075,0.246759088856195,0.179097764692425,0.266920689417896,0.244330403593694,0.224982891751489,0.310181957432993,0.194834158880517,0.1909679814889,0.15756121464322,0.166216065298304,0.179093235597355,0.192462557746348,0.214061751840706,0.143234943673692,0.313587393422019,0.162981061802815,0.17541352298558
"6",8.67181460904497,8.4045590529726,8.6566703004132,8.55668513410607,8.46378680746691,8.58195064198135,8.6262470068366,9.12745558417282,8.76359931944041,8.51876364498013,8.92935334595708,8.62841136101013,8.43252384003005,8.89147443404363,8.62127599372841,8.625858674888,8.2920926782765,7.94887889932092,0.198921078330215,0.274209173637109,0.159456839052386,0.257565802807647,0.288549512857924,0.226108581231269,0.347835701031215,0.194615652246063,0.227991560876655,0.158427887607833,0.20848175419829,0.161856299518504,0.195094897490365,0.22008663738663,0.163678489385365,0.34260799595476,0.17209207368986,0.145256308881887
"7",8.51513913975988,8.34623363547949,8.7318701414059,8.47673661544235,8.69535656307454,8.58532024692636,8.53307414360012,8.88614400000253,8.96505879308883,8.59868531670734,8.75178830411477,8.87088399795448,8.48545531540834,8.2504737489574,8.59247757142932,8.58955743603609,8.2650001598844,7.53737707279331,0.184497986226781,0.232391827638297,0.245418750108625,0.253328405855719,0.288262403552454,0.2380499437134,0.338979191725381,0.180264168927913,0.232081203069927,0.164307323031378,0.22441477072923,0.188526996633129,0.193995684137391,0.216476649225072,0.148458601509569,0.297859204366054,0.157513308101521,0.131017233763218
"8",8.52356826110234,8.42816154246563,8.55732707327736,8.47810324316402,8.6075395020341,8.87364529267238,8.60713669555591,8.87457598800265,8.84540074074554,8.60454170591751,8.6191457163193,8.47966919765329,8.39289245322957,8.25067060240795,8.39815278523141,8.57816325516842,8.66413524684887,8.45008382316454,0.203799461197195,0.203885501531507,0.234861144254242,0.245474256363231,0.290769227373198,0.233563379893142,0.328321880834647,0.23774275883846,0.237641855001803,0.193166569362734,0.146462650227149,0.192388635900351,0.224036125882773,0.207607223995475,0.174121196793375,0.325604363969141,0.18881832681867,0.165608616821779
"9",8.49094560917643,8.42984509116506,8.81270553479642,8.37603478413866,8.57775823049365,8.96468805347006,8.29730191536438,8.79255097405849,9.1417221309951,8.47660971419693,8.58833459421255,8.39663342650781,8.51761391847384,8.21632548224099,8.4837874359429,8.53767972790045,8.41200748583176,8.51731344571511,0.205678383666176,0.209243579410342,0.237631263569527,0.248491892029176,0.271834707690598,0.216618535745322,0.300423674229717,0.213946567057708,0.229250487626144,0.153073638248905,0.137585445258446,0.206166715087863,0.222341533396323,0.194006751659392,0.155939999391775,0.28070834289052,0.189968566561762,0.165375214357225
"10",8.49739670737537,8.45405050354302,8.61268383571057,8.4481454429712,8.38471374920475,8.93735539285803,8.61973048468331,8.49895889989973,8.8400266438818,8.47188017457656,8.69344437869093,8.42222178404368,8.53620771958052,8.66836352189137,8.656216210694,8.32439567924276,8.44100295685151,8.64697617662641,0.178036272669705,0.212715898976991,0.217703364809671,0.243869494337674,0.315622428800773,0.221423750310792,0.349151579037648,0.19722429189381,0.236376386164894,0.179437152451085,0.166158822266589,0.17910392019519,0.211859973885102,0.18254142477435,0.171206814826185,0.318627169088484,0.167782949549425,0.120460611551486
